Gene.name,log2FoldChange,padj
Dcbld1,-0.159843014,0.238163556
Smarcd2,0.164995859,0.238196184
Ahcyl2,0.073499719,0.238237048
Slmap,-0.063150311,0.239662806
Cdadc1,-0.151364932,0.239690366
Nsun6,-0.215403698,0.239920955
Rbm48,-0.326402535,0.239968972
Tubb2b,-0.126928995,0.240170979
Morn4,0.060829161,0.240193287
Bcl7c,-0.117683109,0.24039483
Scrib,-0.108975067,0.240437468
Ninl,0.212697522,0.240559613
Rcn3,-0.302903155,0.24090505
LOC100910245,0.169097231,0.241009136
Wrap53,0.216712667,0.241277451
Adra1b,-0.304751712,0.241445085
RGD1304728,-0.125880214,0.241712278
Mttp,0.294934233,0.242536852
Nutm1,-0.362901294,0.242642553
Rbbp4,0.151440636,0.242642553
Ano8,0.094604745,0.242724727
SNORA73,0.382314137,0.242747845
Nup35,-0.119493146,0.242747845
AABR07002784.1,0.22665142,0.242880878
Anapc2,-0.056125161,0.242883121
Nfasc,0.080096294,0.243401974
AC103090.1,-0.126761106,0.244593889
Paqr3,-0.100336202,0.244789972
AABR07036746.1,0.355986058,0.245019047
Snx11,-0.107345431,0.245250809
Acaa1a,0.087729085,0.245250809
Icam5,0.077628169,0.245440638
Dennd1b,0.182423663,0.245459272
Ankle2,0.098698888,0.245630967
Tubgcp2,0.081828027,0.246004173
Ccdc137,0.112471508,0.246137841
Pnpt1,-0.152906251,0.246212575
Ncs1,0.060740839,0.246212575
Coq4,-0.123119056,0.246212575
Pdcd5,-0.104986052,0.246236168
Dhx9,0.123812245,0.246485134
Nup205,0.089206169,0.246690838
Nkd2,-0.135182224,0.246701765
LOC100910833,-0.096224433,0.246800762
Fkbp9,-0.144007496,0.246845054
Paqr4,-0.095608262,0.246845054
Zfp563,0.156977048,0.247657573
Ndufaf4,0.143317614,0.247736289
Intu,0.226175893,0.248036043
Rgs22,0.394335006,0.248226914
Rps29,0.313683966,0.248917551
AABR07002768.1,-0.206934825,0.249093387
Slc30a2,-0.354828546,0.249252845
Mutyh,-0.263893833,0.249522182
Vwa8,0.26405958,0.249572552
Shq1,-0.33270373,0.250228855
Pcsk7,0.103239896,0.250319042
LOC103689975,-0.074876424,0.250515489
Erp44,0.139616485,0.250576423
Snx20,-0.277009458,0.250578044
Fbrs,0.117144284,0.250691796
Aarsd1,0.078719461,0.250890828
Bola3,-0.13969615,0.250937972
Sdf4,0.081099156,0.251088632
AABR07052588.1,-0.333947224,0.251177567
St8sia2,-0.169433129,0.251241536
Ccdc117,-0.149717662,0.251304462
Fitm2,0.07094041,0.251577219
Trpc3,0.139986028,0.251671231
Anxa4,-0.406912205,0.25182675
Ank1,0.090535694,0.251865506
Zfp708,-0.283302056,0.252086895
LOC100911664,0.12920225,0.252196156
Arhgap32,0.058928868,0.252304858
LOC100911361,0.219627422,0.252894645
Zfp182,0.212225287,0.253179453
Zfp870,-0.154161424,0.253206314
Slit3,-0.149689914,0.253206314
Fam162a,0.085553438,0.253378949
Fanca,-0.219770747,0.253482354
Map1lc3b,0.072069786,0.253565508
Pbdc1,0.121540478,0.253695359
Donson,0.115249163,0.254172786
Usp34,-0.079433736,0.254172786
Atg14,-0.110387453,0.254404772
Fgfr3,-0.295363654,0.254709669
Fam149b1,0.08013999,0.254726591
Snca,-0.068543509,0.25480671
Pkn1,-0.093060817,0.254812341
AABR07002784.2,0.36499002,0.254878459
AABR07039356.1,-0.272615022,0.255421751
Exoc5,0.097473428,0.255515166
Crabp1,0.285268815,0.255543831
Nell1,-0.189128325,0.255573535
Tnks2,0.06886257,0.255632457
Cyc1,0.095628799,0.255780049
Clcn7,-0.092647198,0.255833599
RT1-T24-3,0.40019834,0.255833599
Rab2b,-0.107694244,0.256117083
Slc15a4,-0.120960161,0.256164526
Itga11,-0.376935814,0.256357322
Nkain4,-0.263279583,0.25658644
Rmdn2,-0.376567262,0.256724098
Dek,0.17589903,0.257140572
AABR07028979.1,-0.203668923,0.257205385
Rhob,-0.082980557,0.257256059
Slc1a5,-0.330052024,0.257407947
Pfdn4,0.117616901,0.257491332
Cep104,-0.087351546,0.257701978
Wdr55,0.072547384,0.257729416
Clpp,-0.083697913,0.258012717
Nup107,-0.10385183,0.258267043
U2surp,0.110913745,0.258342936
LOC108348233,0.136348183,0.258615966
Slc38a4,-0.375882679,0.259106157
AABR07042936.2,-0.301952807,0.259420659
Snap91,0.080954825,0.259570247
Rab40c,-0.080994531,0.259570247
Stk35,0.111630795,0.260127566
Fam71e1,-0.277257427,0.260156933
LOC681282,-0.182844821,0.26023118
Pomt1,-0.131177801,0.26023118
Bex3,0.062607469,0.260630941
Mllt3,-0.092004909,0.260878758
Ggact,-0.259792517,0.261314131
AC128901.1,0.149337711,0.262494947
Ddx21,0.059706623,0.262566658
Zfp420,-0.125210554,0.262940517
Cd109,0.364836687,0.263106254
AABR07039328.2,0.149446438,0.263218095
Sap18,0.172957001,0.263751531
Prdm16,-0.504130911,0.263751531
AABR07031089.1,0.280119105,0.263787512
Rnasek,0.278078002,0.263787512
Ypel3,-0.098701473,0.264022715
LOC103691005,-0.37173169,0.264200246
Cabp1,0.122949032,0.264756754
Tulp3,0.166200549,0.265188998
Col26a1,0.186218432,0.266014698
Setd2,-0.065453474,0.266014698
Tti2,-0.145845535,0.266139719
Smim11a,0.260322946,0.266443942
Apba1,0.0787332,0.266450559
LOC108348078,-0.150875124,0.266744218
Shank2,-0.095603439,0.266791889
Rfxank,0.209556854,0.266831731
G6pc3,0.095974322,0.266892655
Hspb6,0.210534516,0.267304048
Lsm7,0.099658944,0.26839044
Eny2,0.085178002,0.268785915
Dtnbp1,0.138676477,0.268836154
Crtc2,0.159815371,0.269105529
AABR07048419.2,0.295741805,0.269189987
Pacrgl,-0.219100445,0.269192417
Bicc1,0.280754664,0.269192417
Klhl9,-0.107659122,0.269519708
Xpa,-0.282650763,0.269908039
Tmem179b,-0.36323999,0.270387573
Hcls1,0.455067065,0.270483775
Itpr1,0.195253598,0.270827465
Yme1l1,-0.147291658,0.270827465
Nr2c2ap,0.093052529,0.270827465
Cox5b,0.183406105,0.270902393
Ppp1r35,-0.178963015,0.270978285
Fank1,-0.385461287,0.271100228
Nop16,-0.081878387,0.271238394
Clptm1l,0.051806016,0.271495964
Ercc6,0.076721846,0.271654895
R3hdm4,0.064363607,0.271668713
Ptpmt1,-0.1275409,0.2720997
Fam161a,0.296611741,0.272309318
Klrg2,0.446295106,0.272610357
Prex2,0.240210087,0.272829668
Aars,0.057016265,0.272959252
Gpx3,-0.2513591,0.273401256
Zfp35,0.104140477,0.273405105
Lsm5,-0.242998088,0.273405105
Thoc1,-0.191675816,0.273655937
LOC103690317,0.051139279,0.273665127
Ccdc62,0.310547277,0.273772572
Hars2,-0.097361321,0.273947919
Hmgb3,0.143865355,0.27400001
Mmp2,-0.300526439,0.27422248
Zmpste24,0.137979468,0.274571049
Kcnj6,0.096504205,0.275268099
Skiv2l,-0.092418757,0.275411225
Ganc,-0.186615838,0.275411225
Kcnn2,-0.230986988,0.275754341
Fgd4,-0.110963675,0.275760356
Rasl11b,-0.136158979,0.277119
LOC688672,0.189935722,0.27716735
Plk1,-0.255838645,0.277249187
Hebp1,0.101045131,0.277316456
Gnl3l,0.063552313,0.277446174
Efcab2,0.369015964,0.277505056
Zpbp,-0.330985745,0.277684779
Vps35,-0.108681582,0.277762354
Evi5,-0.091934602,0.277769251
LOC100909664,0.084795463,0.278074252
Fam177a1,0.084064233,0.27817069
Zfp287,-0.106470057,0.278191527
LOC690617,-0.093480463,0.278575735
Uckl1,-0.118655172,0.278616541
Dlgap3,-0.096613567,0.278901871
Cyp4x1,0.140297009,0.278985616
Csnk2b,0.065025859,0.279397137
Commd3,0.117798572,0.279870611
Banp,0.097647935,0.280394659
Selenom,-0.159412312,0.280418799
Dnah2,0.220880292,0.280418799
Chrm4,-0.104768952,0.280432042
Fcf1,-0.105752503,0.280432042
Chrm3,0.072306867,0.280460317
Tcea2,0.078403262,0.28069749
Zfp593,0.123596048,0.280873346
Mrpl52,0.1244911,0.280873346
Lypd6b,-0.180941699,0.281017458
Ppm1m,0.217780771,0.281034146
Fmr1,0.122749051,0.281065041
Dnm1l,0.072443248,0.281094232
Ndufs8,-0.076957747,0.281331039
Unc79,-0.064284923,0.28140305
AC139445.2,-0.328602703,0.281409206
Alg9,-0.0664883,0.281413004
Nomo1,0.078598962,0.281645291
Ankrd10,-0.111135274,0.281893576
Wdr4,0.112367634,0.281957188
Coa8,-0.151302147,0.282508292
Zfr,0.056236352,0.282674617
AABR07002938.1,0.296531882,0.282730371
Tspan6,0.122532468,0.2828646
LOC103690164,0.172599196,0.282900328
Nsf,-0.057085741,0.283226829
Ewsr1,0.051977319,0.283245
AABR07052519.1,0.157494011,0.283593591
Blzf1,0.150690051,0.283779581
Ppargc1a,0.08241156,0.283824323
Gas8,0.209330759,0.283862534
Ppa2,-0.114377677,0.284177084
Ipo4,-0.07811945,0.284627483
Tmem241,-0.297834991,0.284636259
Hif3a,-0.358725118,0.284695661
Hck,0.318698512,0.284710588
AABR07069008.1,0.235633982,0.284977419
Focad,0.072759973,0.28501036
Eif4a2,0.110620392,0.285273769
Tanc2,-0.039819289,0.285359321
Zc3h10,0.114265053,0.285516102
Celsr1,0.156304963,0.28579329
Ddhd2,0.129194692,0.285984985
Syt1,0.08790811,0.286424634
AABR07024439.1,-0.221695136,0.287018231
RGD1560015,0.134070643,0.287446361
Cmss1,-0.177385332,0.287446361
Sqle,-0.094296224,0.287596128
Ppfia1,-0.098887622,0.287926805
LOC108348050,0.170895349,0.28820163
Pofut2,0.098480096,0.288467851
LOC100911374,-0.084133829,0.288468833
Dock5,-0.347092334,0.288553503
Diaph3,0.229036053,0.28856556
Fbxo45,0.087168471,0.288846924
Tubgcp4,-0.120961916,0.288879942
Tkfc,-0.22101887,0.288995167
Slc22a17,0.062596561,0.289007658
Uxs1,-0.093256616,0.289177687
Amer1,0.073067629,0.289329877
Fbxo8,-0.149382026,0.289926092
Dock11,0.22916896,0.28997008
Cnn2,0.334939392,0.290054514
Bri3bp,-0.071932149,0.290067316
LOC360919,-0.24952252,0.290104299
Eml3,0.188204788,0.290252806
Man1a2,-0.077419765,0.290553044
AABR07006774.1,0.493585821,0.290933539
Oard1,-0.277169832,0.290994435
Thoc2,0.11181126,0.290995795
Abcd4,-0.199688892,0.291161571
Enox1,-0.072708849,0.291431216
Fbxo30,0.103013954,0.291525501
Xpot,0.063229909,0.29155614
Zfp423,-0.130292697,0.291606147
Sema3b,-0.200831528,0.291606147
Zar1,-0.37291324,0.291606147
Dab1,0.090535679,0.291612468
Spata25,-0.258335423,0.292361261
LOC100364500,-0.300199013,0.292647291
Tmed1,-0.175541914,0.292691141
Atp5po,0.051215858,0.292730002
Col6a5,0.399778524,0.292858416
Lpl,-0.11507712,0.292948332
Dyrk3,0.164422449,0.29326996
Relb,0.247996848,0.293653505
Rfesd,0.154960688,0.293967237
Tatdn1,0.187733484,0.294730418
LOC100911881,-0.066504217,0.294778234
Kcnk12,0.294496633,0.295190545
Arntl,-0.065990206,0.29544847
Alms1,0.101244848,0.295567629
Rbm15b,0.080016637,0.295616865
Uso1,0.053953197,0.296102228
Aif1l,-0.329791875,0.296341523
Schip1,-0.049825831,0.29743489
LOC102555217,0.281097968,0.29749587
LOC100360940,-0.312363723,0.297541183
C3,0.302297773,0.297582113
Zfyve28,0.104523832,0.297695302
Dbr1,0.139265164,0.298469928
Gnl2,-0.097583641,0.298511508
Cryz,0.192013617,0.298597899
Aph1a,-0.062010923,0.298616995
Vdac3,-0.116545995,0.298760454
Rprd1b,0.084590553,0.298897302
AABR07026032.1,0.097594146,0.298979706
Sds,-0.332703178,0.299059074
Mir124-3,0.326628619,0.299101111
Sirt4,-0.279791687,0.299311184
AABR07024786.1,0.147512146,0.299608258
Atp2b3,0.081449994,0.299608585
Cbr1,-0.135803375,0.300114083
Morf4l1,0.089935413,0.300423574
Sltm,-0.108702794,0.300778478
LOC103690038,-0.111452645,0.300815803
Piezo2,-0.587988849,0.301309073
Tmbim4,0.108650701,0.301309073
Kcnt2,-0.181582467,0.301590189
Commd2,-0.099437526,0.301612607
Tuft1,0.218704808,0.301923505
Slc26a6,-0.123443751,0.301979757
Chmp2a,-0.06495677,0.302039089
Galnt13,0.133445123,0.302111275
Scai,-0.11066507,0.302816341
Cep170,0.084564443,0.302931734
Rorb,0.124102469,0.303105442
Slc46a1,0.09315265,0.303806582
Ulk4,0.135381211,0.304221525
RGD1307554,0.08806542,0.304888144
Rnf6,-0.076467556,0.304972938
SNORD29,-0.378418184,0.304982349
Itgal,0.310420588,0.304982349
AABR07052441.1,-0.199450489,0.304982349
Ca11,0.114263112,0.305032098
Bfsp1,-0.270808351,0.305041622
Slfnl1,0.212902136,0.305167282
AC131360.2,0.158974462,0.305225583
Tubb3,-0.116537991,0.305776702
LOC103690035,-0.203447555,0.305829457
Msl3,-0.125681385,0.306543023
Calb2,0.317552745,0.306740304
Satb1,-0.072507865,0.306959374
Cd276,-0.119249627,0.307588815
Nme5,-0.358396883,0.308351867
Crlf3,0.148223691,0.308377122
LOC100910708,-0.19424397,0.30890475
Sdc3,0.077590266,0.30890475
AC119332.1,-0.341334346,0.309145682
LOC100360238,0.219852187,0.309189891
Xylb,0.194906496,0.309945542
Ece2,0.22632252,0.310097235
LOC100364062,0.140510249,0.310233879
Arl6,0.107241879,0.310268487
Pitpnb,-0.059968941,0.310418755
LOC108348130,0.212411542,0.310701399
Ankrd16,-0.167368651,0.310757989
AABR07002065.2,0.119641679,0.310797899
AC105662.1,0.320236037,0.310838877
Nmt2,0.054089252,0.311168506
Pid1,-0.104119508,0.311665832
Spata9,0.2852381,0.311918037
Ppif,-0.117244674,0.312009979
Tnfrsf19,0.151451963,0.312102758
Ttc39b,0.196090432,0.312179361
Stag1,-0.112010217,0.312332086
Acaa2,0.085106881,0.312348918
Zfp324,-0.104435905,0.312649839
Atp6v1g2,-0.056325739,0.312710098
Gcgr,-0.289844138,0.312842429
Sqstm1,0.057294287,0.313209209
AABR07019086.1,-0.061570877,0.313377504
Repin1,-0.08970444,0.313695039
5_8S_rRNA,-0.20093381,0.314306007
LOC683897,-0.138274938,0.314649135
Cyb5a,-0.101273155,0.31493189
Plcd4,0.225596518,0.315034523
Chd1l,0.231514584,0.315133919
Crtapl1,-0.31494955,0.315277635
Neurod2,0.082001469,0.315460074
Ippk,0.135599753,0.316287067
Rbfox1,0.079139668,0.316636767
Kcnt1,0.166075959,0.316780583
Acbd6,-0.065112758,0.316871413
Ppp1r36,-0.303080223,0.316988502
Gstt2,-0.333294906,0.31700769
LOC103692169,-0.097342965,0.317120864
Thyn1,-0.075290306,0.317120864
Prxl2b,-0.083454525,0.317123919
Zyx,0.130860199,0.317215439
Plxna4,-0.096722982,0.317296529
Mrps35,-0.094362579,0.31820685
Alg3,-0.136402833,0.318247339
LOC297756,0.303498753,0.31840014
Flcn,-0.067235926,0.31856259
Dgka,-0.251844735,0.318654027
Mtfr1,-0.153358542,0.318833726
Ndufaf2,-0.215830653,0.318833726
Acox1,0.047690036,0.318848085
App,0.099513733,0.318848085
Psmb10,0.144904347,0.320465779
AABR07043098.1,-0.33989026,0.320795488
AC135409.1,0.23696132,0.320876855
Apba3,0.173977637,0.321055766
Lrba,-0.078112534,0.321405457
Psmd14,-0.083211316,0.321476807
Rab23,-0.07920942,0.321477426
Cfl2,0.102649338,0.322447662
Chchd5,-0.110044518,0.322474366
Ipo9,0.044243795,0.322520789
Tpmt,-0.163653011,0.322520789
Uqcrfs1,-0.061410126,0.322582637
Csdc2,0.048871616,0.322609442
LOC688583,0.13917174,0.323352051
Grm8,0.231175432,0.323838224
Usp25,0.093566139,0.324059445
Lgi1,-0.110325474,0.324218814
Cdh4,0.18772655,0.324523036
Acvr2a,0.142228255,0.324822757
Smoc1,0.31699552,0.325013065
Nol11,-0.08791572,0.32522767
Eipr1,-0.06455202,0.325230703
Setd1a,-0.06052151,0.325437856
Slc39a9,-0.055983996,0.325794032
Wdtc1,-0.072071567,0.325869713
Anks3,0.114031027,0.325869713
Rab29,-0.278136847,0.326246061
Pik3cg,-0.217407248,0.326775216
Vps26b,0.0523386,0.327201418
Hist3h2ba,0.091574561,0.327707169
Dgkd,0.056960875,0.327707169
AABR07024908.1,0.152891767,0.328165875
Xrcc2,0.188600071,0.328434448
Dcp1a,-0.067924197,0.328837259
Gstm5,0.110429137,0.328837259
Bin3,-0.139495003,0.328929977
Zdhhc20,-0.141521039,0.328978486
LOC688390,0.340062616,0.329109137
AABR07018857.1,-0.096361749,0.32936621
Ak3,-0.096841491,0.32936621
AABR07006458.1,0.136900283,0.329695105
Sts,0.175076003,0.329708191
Diablo,-0.120555175,0.329807137
Lancl1,-0.077081599,0.329961814
Gpr21,-0.225164016,0.330101131
Git2,-0.094359687,0.330479488
Bcl2l2,0.074017915,0.330523241
Tmem120b,0.11136253,0.330565584
Lipe,0.144884169,0.330565584
Sra1,0.09782743,0.330935776
Kctd17,0.06089831,0.331845428
Drd5,-0.400743005,0.332946289
Cetn2,0.124489806,0.333488447
Psmb2,0.087012762,0.333735435
Tomm22,0.073402584,0.333841716
Agpat1,-0.068079545,0.333867614
LOC100912008,0.090557423,0.333930012
Rnf157,0.061088238,0.334196827
Lrp12,0.079411625,0.334827406
Scgb1c1,-0.2622349,0.334827406
Prss36,-0.24058168,0.335340264
Deaf1,-0.089634978,0.335724883
Rrbp1,0.080199042,0.335851376
AABR07002068.1,0.284201397,0.336207101
Cntn4,-0.111986879,0.336350956
Kif22,-0.296223902,0.336998228
Wdr3,-0.103188126,0.337061722
Izumo4,-0.16970199,0.33709933
Ank3,-0.054998525,0.33709933
AABR07071697.1,0.206298167,0.337153078
Dkk4,-0.116596443,0.337418138
AABR07033184.1,0.449456974,0.337489037
Anxa2,-0.511869794,0.337489037
Ptpn6,0.316261152,0.337489037
Tpp1,0.169379303,0.337824005
Mtf2,0.098561794,0.338090133
Lsm4,0.103801705,0.338178386
Fam169a,0.063727127,0.338217198
Dcun1d1,0.101542652,0.338775491
Ppih,0.177207778,0.338878012
Rpp21,0.09475588,0.338878012
Gabrb3,-0.059373483,0.338878012
Nek7,-0.257792677,0.338878012
Epb41l4a,-0.174415524,0.338926348
LOC257650,-0.278591615,0.338926348
Ccn2,0.191454623,0.338926348
Kcnk15,-0.07599199,0.338926348
Nxf1,0.07090488,0.338926348
Zfp866,-0.273932719,0.338926348
AABR07055917.1,-0.178515119,0.340112648
AABR07014114.1,0.330503241,0.34037173
Hdac2,-0.077071178,0.340687503
Tbck,-0.146232485,0.340697352
Acat1,0.056852177,0.340697352
Mybbp1a,0.05131551,0.341129247
Plekhg4,0.289573964,0.341290552
Idh1,-0.119722017,0.341328011
Gpn1,0.072270038,0.341420998
Cbx2,-0.175509194,0.341497673
Slc22a12,0.089273887,0.342074702
Dmac1,-0.159609771,0.342311392
Hacd1,0.272271962,0.342771428
Zfp422,-0.100334044,0.343188999
Sumf2,-0.270745134,0.343753979
Mlip,0.071398583,0.343753979
Larp7,0.093563414,0.343927066
Pop5,0.091734218,0.343927066
Maz,0.069697265,0.343927066
Stk10,-0.194929602,0.344180228
LOC100910710,-0.255408254,0.344804571
Trim68,-0.258824438,0.344804571
Aplf,-0.243699036,0.345828618
Zfp668,-0.083784401,0.345949665
Tfcp2,0.087469451,0.346079263
LOC100361854,0.229604409,0.346086168
Sugt1,-0.10918404,0.346745777
Psmc5,0.048564995,0.346825476
Nalcn,0.121837344,0.346837958
Tsta3,0.078864446,0.347363114
Mzf1,0.118547314,0.34759002
Kmt2a,0.080730447,0.348393959
Atp6v0b,0.036984953,0.348705233
Mphosph6,-0.179728747,0.348753544
Phgdh,0.600459944,0.34892038
Lmf1,-0.12092643,0.349033448
Yipf6,-0.092557347,0.349110456
Il1rn,-0.302283913,0.349110456
Fam135a,-0.099309272,0.349975734
LOC100911692,-0.124680905,0.349989905
Slc29a4,-0.068633022,0.350173772
Pycr1,0.104678081,0.350173772
AABR07002893.1,0.136712846,0.3512021
Bloc1s2,0.073355255,0.3512021
Col11a2,0.266235751,0.3512021
Gpn2,0.119837388,0.351377455
LOC500124,-0.294114802,0.351805644
Sdc2,0.170494801,0.351899743
Ptpn23,0.068647568,0.352587625
Stxbp5l,0.091056099,0.352587625
Cap2,0.138898801,0.352884661
AABR07030498.1,0.24200084,0.353029948
Golm1,-0.153192695,0.353053999
Gtpbp2,-0.078884618,0.353703109
Fgf18,-0.332728266,0.353725827
C8g,0.272743664,0.353813739
Naa40,-0.10019751,0.353813739
LOC680989,0.160896527,0.353829657
Oxsm,-0.111910802,0.353968657
Csgalnact2,0.128836072,0.35447532
Rnf165,0.070044489,0.354542259
Bok,0.075914162,0.355590627
Ppp6r1,-0.053781378,0.355601512
Pdxdc1,-0.058293962,0.35592365
Tmc7,0.116292968,0.355943395
Tbk1,0.095221071,0.355943395
Nmnat1,-0.152576007,0.355990217
Fgf22,-0.110127966,0.356231827
LOC103689951,0.212857327,0.356269506
Mrpl37,-0.066712434,0.356546554
Zfp483,-0.138336097,0.357339405
Malt1,0.246182421,0.357746563
LOC108348287,-0.069753355,0.357820249
Ca12,-0.407126944,0.357822888
Rnf170,-0.132618418,0.357870435
Anapc15,0.095588241,0.358239837
Slc16a14,0.083131103,0.358544902
AABR07064061.1,0.097532365,0.358569873
AABR07055919.1,-0.213209149,0.358670689
Esrrg,-0.137938634,0.358670689
Homer3,-0.16558754,0.358814328
AABR07008904.1,0.245680056,0.359700343
Tmbim1,0.294472068,0.360140063
Shisa5,0.0647258,0.360439641
RGD1306941,-0.108166473,0.360439641
Reep6,-0.117635952,0.361317193
Washc4,-0.083428089,0.361359733
Cyld,0.105518207,0.361417852
Ndufc1,0.101828335,0.361520337
Ctsz,-0.281152224,0.3616451
Msh6,-0.08838972,0.361773188
Ccdc166,0.175638714,0.361883214
Otub1,0.053110985,0.362171775
Fam227a,0.319410488,0.362461942
Glcci1,0.115674891,0.362532798
Ubxn2a,0.206833013,0.362679785
Otud5,0.047990305,0.363656051
Mfn1,0.069112212,0.36385324
AABR07065925.1,0.302188704,0.364244106
Znrd2,0.064053527,0.364476709
Rpp30,0.123134921,0.364500552
Dapk3,-0.091907591,0.365013018
Shisa6,-0.20639619,0.365565001
Mthfd1l,0.198557155,0.365689039
Mcm2,-0.259543773,0.366158899
Alkbh6,0.191713094,0.366554593
Ncapg2,0.157406833,0.366675329
Mettl25,-0.180500689,0.366938882
Gnpat,-0.053916296,0.367249752
Tmem87a,0.132769141,0.367249752
Nptxr,0.076111852,0.36755194
Arhgap5,-0.103719895,0.367949951
Limch1,-0.124239201,0.368126402
Cuedc2,0.300747818,0.368408985
Akt1,0.063660879,0.369312805
Exosc10,-0.060664017,0.369312805
Pla2g6,-0.094580461,0.36933514
Rasl10b,-0.098947074,0.36933514
H2bu1,-0.123435304,0.369593899
Top2b,0.091247528,0.36974022
Gpr182,0.139319424,0.370033633
AABR07050879.1,0.07993608,0.370159929
Tor1a,-0.070288558,0.370235717
Mical1,-0.161622816,0.370262367
Zfp74,-0.108386494,0.370975654
Stt3a,0.069323307,0.371092169
Pls1,-0.291205269,0.371115302
Scrn2,-0.353276197,0.371128379
Pycr3,0.074992446,0.371217433
Pts,-0.191770915,0.371786002
Mllt6,-0.061801961,0.372234164
Rnf40,0.065366997,0.372244037
Msra,0.116153387,0.37229141
Epha4,-0.074099288,0.372362078
LOC683674,0.071083896,0.372362078
Dchs1,-0.047695547,0.372612797
Ppp1r11,0.059844544,0.373446731
P4ha3,-0.112685189,0.373446731
AABR07026002.1,-0.237109406,0.373746979
Stk3,0.153342062,0.373779837
Dock6,-0.23951476,0.373914733
Scp2,-0.075929759,0.373914733
Ikzf2,0.190147425,0.374020294
AABR07007642.1,0.083222353,0.374092565
Lin37,0.139091952,0.375045097
RGD1565685,0.130592622,0.37550678
Ythdf2,-0.060546091,0.37550678
Thap7,-0.100817307,0.375741574
Rif1,-0.115149293,0.375788982
Wdyhv1,0.218768384,0.376173575
AABR07054362.1,0.21492251,0.376737538
Pold4,0.269512408,0.377008287
Lrig1,-0.104515574,0.377008287
Tctex1d2,0.15224566,0.377028043
Tsku,0.116228643,0.377059871
Zfand4,-0.230223006,0.377158453
Bmper,0.168839559,0.378058441
AABR07002969.1,0.105391952,0.378179784
Dync1i1,-0.057359827,0.378648001
Lig3,-0.060421505,0.379028597
Lmbr1,-0.104549163,0.379028597
Rps19bp1,0.068354485,0.379652652
Hddc2,-0.130627837,0.37974065
Uvrag,0.070434621,0.379887281
Plcxd3,0.108105048,0.379887281
Acsl3,0.071455073,0.379936834
Bcan,-0.195784224,0.379936834
Ccs,0.103941406,0.380463558
Parva,0.145835282,0.381032823
Zmiz1,-0.09766549,0.381043256
Ift22,0.076945998,0.381226481
Prkd1,0.204550011,0.381226481
Cript,-0.11331836,0.381255288
Nsd3,-0.04072843,0.381482455
Sf3b4,0.073024732,0.381627208
Sfxn4,-0.176683092,0.382217005
Fam3c,0.044972476,0.3823664
LOC100912481,0.044785968,0.382863552
Nprl2,-0.10096233,0.382921836
Rhbdl1,-0.078464667,0.382921836
Ttll1,0.076948402,0.383126289
Brix1,-0.138633293,0.383271619
Churc1,-0.132637607,0.383374737
Senp6,-0.057216841,0.383518915
Trub2,0.070712396,0.383518915
H1f10,-0.085942748,0.383764077
Uap1,0.074846365,0.384052316
Asxl3,-0.071014292,0.384311129
Kdm1b,0.079480185,0.384351165
Slc16a6,-0.102480474,0.384653499
Yars2,-0.122918769,0.384827858
Dram2,0.140735595,0.384918638
Msantd3,0.074265564,0.384918638
Mrm3,-0.111269097,0.385198967
Tcn2,0.323490103,0.385327391
Syngr3,-0.038102149,0.385327391
Ttc21a,0.306783272,0.385415271
Abcb4,-0.316784593,0.385415271
Ywhah,-0.072579132,0.385451028
Xxylt1,-0.086966224,0.385558165
Cgn,0.153259507,0.385558165
Nudt15,-0.256603781,0.385767379
Crtc1,-0.079138129,0.385796565
Wasf1,0.070605667,0.386044644
Gramd1c,-0.245891931,0.386134516
Pde8b,0.254158148,0.386191251
Tmem200a,-0.10689258,0.3870047
AABR07065531.12,0.427480414,0.387308224
Stau1,0.044925247,0.387458234
Ndc1,0.096038343,0.387752896
Fam214a,-0.082037241,0.388129177
Ddx5,-0.071481656,0.388473583
AABR07058124.4,-0.249640952,0.388658911
Lrmp,0.242472835,0.388773477
Trim28,0.034822662,0.388800703
Acad10,-0.241742081,0.388829456
Eif5b,0.061186294,0.389003828
Hdac8,0.155912337,0.389259715
Cnot10,0.068388463,0.389345806
Smug1,-0.079111782,0.389363778
Lcorl,0.169112278,0.389633445
Trappc6a,0.163373387,0.389668071
Hcfc1r1,0.082555113,0.38982658
Zfp136,-0.176679533,0.390172188
Gria2,-0.062198076,0.390437346
Mok,-0.156201803,0.39052152
Trappc13,0.065702832,0.39052152
Unc13c,0.23112089,0.390599782
LOC100909824,0.126463362,0.390732672
Chic2,0.115011264,0.390889936
AC134160.1,0.256143446,0.390889936
Lsm2,0.108426693,0.390920613
Trmt1,0.080271457,0.391038797
Frat2,-0.176301434,0.391088177
Ntng1,-0.098424838,0.391415743
LOC500877,-0.282570627,0.391613631
Gjd2,0.118306552,0.392099899
AABR07003250.6,0.303491976,0.39235567
RGD1310127,0.081094501,0.39236546
Ppidl1,-0.177263965,0.393077715
Samd15,-0.234755897,0.393082609
AABR07055776.1,-0.23338034,0.393191348
Chordc1,-0.093334304,0.393574096
Aldh1l2,-0.080434353,0.393654233
Rims3,-0.099408408,0.393888916
Sf3b2,-0.048665833,0.393888916
Zbed4,-0.053082731,0.394263332
Tgfb1,0.282892965,0.394363721
Endog,-0.155639163,0.39446645
Tmem254,-0.078732814,0.394733177
